company,company_rating,title,uppers,downers,advice,date,author
"Wipro Limited
Related Internships:  Wipro Global 100 Summer Associate Program",3.5,“Always learning and adding value to firm and self”,"The exposure to rich client experiences and the pleasure to work with a great team
","
Backend processes cause a lot of delayed response in many situations. progressions and raises are non-industry standard
","
Provides opportunities to grow and add value to firm and self as a professional","Experienced in Health Care and/or PharmaceuticalsStamford, CT2018",VERIFIED EMPLOYEE
"Wipro Limited
Related Internships:  Wipro Global 100 Summer Associate Program",3.5,"“Sailing High, Aiming higher”","Training Oppurtunities
","
It was when lots of accounting kind of activities were there. But now most of the things are automated.",,Experienced in Energy & Utilities2018,VERIFIED EMPLOYEE
"Wipro Limited
Related Internships:  Wipro Global 100 Summer Associate Program",3.5,“Great team within our vertical to work with that has kept me going”,"Integrity, Flexibility, Open to ideas, Opportunity to express
","
Compensation
","
If you have patience and wanting to contribute and grow, this is the place especially for people coming out of colleges and with few years of experience","Partner in Financial ServicesAtlanta, GA2018",VERIFIED EMPLOYEE
"Wipro Limited
Related Internships:  Wipro Global 100 Summer Associate Program",3.5,“Great experience if you are ready to put in the efforts.”,"Good Opportunities and some good team members
","
complicate HR practices and internal functions
","
Great place to learn on job, good training opportunities and challenging projects","Partner in IT Operations & ImplementationAustin, TX2018",VERIFIED EMPLOYEE
"Wipro Limited
Related Internships:  Wipro Global 100 Summer Associate Program",3.5,“Highly Ethical Company”,"Meaningful work to improve healthcare to improve people's lives
","
Surprise, last-minute assignments
","
Meet with the hiring manager. Differences in approach may be at a personal level...","Experienced in Health Care and/or PharmaceuticalsManchester, NH2018",VERIFIED EMPLOYEE
"Wipro Limited
Related Internships:  Wipro Global 100 Summer Associate Program",3.5,“Awesome place to work”,"Work ethics and corporate citizenship initiatives
","
convoluted processes
","
Its a very large organization with many interesting an growing groups. Do ample research to ensure you join the right team within Wipro.","Partner in Financial ServicesNew York, NY2018",VERIFIED EMPLOYEE
"Wipro Limited
Related Internships:  Wipro Global 100 Summer Associate Program",3.5,“Good exposure; challenges”,"Professional
","
Some ambiguity in org unit and role overlaps",,"Partner in IT StrategyMountain View, CA2018",VERIFIED EMPLOYEE
"Wipro Limited
Related Internships:  Wipro Global 100 Summer Associate Program",3.5,"“Great international experience, unclear if the hard knowledge has much value”","Work life balance
","
High ambiguity and exit opportunities
","
You have to make your own way","Experienced in Energy & UtilitiesAtlanta, GA2018",VERIFIED EMPLOYEE
"Wipro Limited
Related Internships:  Wipro Global 100 Summer Associate Program",3.5,“Challenging”,"Variety of the work
","
Lack of project communication and lack of consistent benefits across regions
","
Do your homework and try to talk to people actually doing your job.","Experienced in Government/Public SectorTulsa, OK2018",VERIFIED EMPLOYEE
"Wipro Limited
Related Internships:  Wipro Global 100 Summer Associate Program",3.5,“Come only if desperate for a job”,"Relaxed hours
","
stressful sudden-deadlines and corporate politics are sorrowful.
","
Unless you are desperate for a job, take a position somewhere else that is more reputable. This firm is mostly focused on cutting costs, not improving productivity or quality of its workers. It relies heavily on importing foreign workers because of their cheaper cost. the quality of the imported employees tends to lean more towards the poor side, with some few who are exceptionally outstanding. Therefore, do not be surprised if your position is let go of suddenly.","Experienced in IT Operations & ImplementationHouston, TX2018",VERIFIED EMPLOYEE
"Wipro Limited
Related Internships:  Wipro Global 100 Summer Associate Program",3.5,"“Great capabilities and potential, from design to execution, but still some way to reduce red tape from employee processes”","Infinite number of opportunities, with a vast amount of capabilities and expertise areas, from design to technology.
","
Sometimes it can be challenging to navigate the many groups, service lines and areas of expertise.
","
If you are a self-starter, like to navigate complex environments with plenty of ambiguity, this is for you. If you're easily discourage, look elsewhere.","Experienced in ManagementMountain View, CA2018",VERIFIED EMPLOYEE
"Wipro Limited
Related Internships:  Wipro Global 100 Summer Associate Program",3.5,“Disappointed”,"Some of the people that with whom you work (peers and reports)
","
Work/life balance, operational support and leadership's culture
","
Be prepared for long hours and a large amount of travel. Expect that you will fully own your career with limited support from your employer. Internal systems are immature and difficient, but evolving. It is an evolving organization where sometimes policies ar irregular in their application. The Indian culture of management strongly influences behavior and the business culture. It is Indian-centric, not a question of good or bad, just different. There are some great people working there.",Partner in ManagementOther2018,VERIFIED EMPLOYEE
"Wipro Limited
Related Internships:  Wipro Global 100 Summer Associate Program",3.5,"“Some good,some bad, could have been better.”","End of the day.
","
Using your weekends to complete your work.
","
Be prepared to commit to long hours, constant travel, an evolving organization.",Other2018,VERIFIED EMPLOYEE
"Wipro Limited
Related Internships:  Wipro Global 100 Summer Associate Program",3.5,“Uneventful and disappointing”,"Nothing
","
Compensation, training, opportunities
","
Go with another offer","Experienced in Energy & UtilitiesHouston, TX2018",VERIFIED EMPLOYEE
"Wipro Limited
Related Internships:  Wipro Global 100 Summer Associate Program",3.5,“disspointing”,"people I work with
","
compensation, internal competition across Wipro",,"Experienced in Media & TelecommunicationsAtlanta, GA2018",VERIFIED EMPLOYEE
"Wipro Limited
Related Internships:  Wipro Global 100 Summer Associate Program",3.5,"“Worst Indian firm of 4 I've worked for. Lie, deceipt full. Don't deliver on commitments. Descrimination.”","Nothing
","
Deceptive. Non communicative. Descrimiation.
","
Go somewhere else. Don't work for an Indian firm. Any of them!!! You will get lied to and treated like crap.",Experienced in Business Operations2018,VERIFIED EMPLOYEE
"Wipro Limited
Related Internships:  Wipro Global 100 Summer Associate Program",3.5,“Wipro standards for working with Unyielding Integrity as a organization culture”,"Always strives to bring out the best in you.
","
There is nothing worst to comment about ones organization.
","
Talent well served are well utilized. Apple opportunities to grow both organically and intellectually.",Experienced2017,VERIFIED EMPLOYEE
"Wipro Limited
Related Internships:  Wipro Global 100 Summer Associate Program",3.5,“International Possiblities”,"endless opportunites
","
Communication within the vertical
","
Key component, true goals, established training continuity, improved internal resources via website","Experienced in Health Care and/or PharmaceuticalsSan Diego, CA2017",VERIFIED EMPLOYEE
"Wipro Limited
Related Internships:  Wipro Global 100 Summer Associate Program",3.5,"“Friendly and flexible culture, but results-oriented and client-focused and becoming more 'digital' and innovative”","Flexibility, Innovation, Colleagues
","
Back-office processes, lack of diversity at the top
","
Wipro has its pluses and minuses, as does any large consulting business. That said, having worked with a much larger global consulting company for many years, I can say that the culture of politics in that company is not really evident at Wipro. There are some politics, but people wanting to work hard, serve clients well and make things happen are noticed and given room to make their way. It's possible to have a more balanced personal life, and to be entrepreneurial.","Experienced in Energy & UtilitiesHouston, TX2017",VERIFIED EMPLOYEE
"Wipro Limited
Related Internships:  Wipro Global 100 Summer Associate Program",3.5,“Wipro Consulting Services provides challenging but helps in maintaining work life balance”,"Oppurtunity
","
Compensation
","
Oppurtunity. Stability","Partner in IT StrategyEdison, NJ2017",VERIFIED EMPLOYEE
"Wipro Limited
Related Internships:  Wipro Global 100 Summer Associate Program",3.5,“Consulting Architect with a penchant for data strategy”,"Colleagues
","
Career opportunities
","
None","Midlevel in IT StrategyToronto, Canada2017",VERIFIED EMPLOYEE
"Wipro Limited
Related Internships:  Wipro Global 100 Summer Associate Program",3.5,"“Some pockets of excellence and opportunity, for those who learn to navigate the culture.”","Opportunities and ability to take on challenging initiatives to drive change
","
Misalignment of business / compensation practices to attract and retain talent
","
Research employees with MBAs from top school and reach out for more information on opportunities and best areas in the company.","Experienced in ManagementMountain View, CA2017",VERIFIED EMPLOYEE
"Wipro Limited
Related Internships:  Wipro Global 100 Summer Associate Program",3.5,“Partner in Financial Services”,"Flexibility in providing our point of view and encouragement to do the best for our customers
","
Compensation",,"Atlanta, GA2017",VERIFIED EMPLOYEE
"Wipro Limited
Related Internships:  Wipro Global 100 Summer Associate Program",3.5,“Partner in Energy & Utilities”,"travel
","
lack of promotions for women
","
If you're a white, female, US citizen, you will not get promoted.","Houston, TX2017",VERIFIED EMPLOYEE
"Wipro Limited
Related Internships:  Wipro Global 100 Summer Associate Program",3.5,“Partner in Strategy”,"Ability to do multiple things which are cutting edge
","
Nothing which can be categorized as worst
","
- Great consulting ecosystem and offerings
- Great place for playing some key consulting roles that helps one move up the value chain
- Good travel policies that is very important
- Opportunity to collaborate with various team for a great collaborative ecosystem
- Result oriented focus","Jersey City, NJ2017",VERIFIED EMPLOYEE
"Wipro Limited
Related Internships:  Wipro Global 100 Summer Associate Program",3.5,"“After a rough start, I like my position”","Quality professional colleagues
","
Indian culture
","
The company is overall a good company to work for and if you reside in North America, you will have an opportunity to grow with the comapny","Partner in StrategyCharlotte, NC2017",VERIFIED EMPLOYEE
"Wipro Limited
Related Internships:  Wipro Global 100 Summer Associate Program",3.5,“Partner in Financial Services”,"Transformational & Innovations Programs
","
Lack Of Diversity",,"New York, NY2017",VERIFIED EMPLOYEE
"Wipro Limited
Related Internships:  Wipro Global 100 Summer Associate Program",3.5,“Great place to work”,"Wipro values
","
Nothing specific
","
No comments","Partner in Media & TelecommunicationsMountain View, CA2017",VERIFIED EMPLOYEE
"Wipro Limited
Related Internships:  Wipro Global 100 Summer Associate Program",3.5,“Midlevel in IT Operations & Implementation”,"Culture
","
Compensation, less challenges, less innovation",,"Houston, TX2017",VERIFIED EMPLOYEE
"Wipro Limited
Related Internships:  Wipro Global 100 Summer Associate Program",3.5,“Good exposure with below average pay”,"Professional latitude; International Opportunities.
","
Pay below industry standards.
","
Firm has been trailing its peers since quite a few years now. There are better opportunities around; steer clear.","Executive in Financial ServicesNew York, NY2017",VERIFIED EMPLOYEE
"Wipro Limited
Related Internships:  Wipro Global 100 Summer Associate Program",3.5,“Great adventure and opportunity to develop”,"People and challenging work
","
Long hours and extensive travel
","
Great global firm with lots of opportunity","PartnerAtlanta, GA2017",VERIFIED EMPLOYEE
"Wipro Limited
Related Internships:  Wipro Global 100 Summer Associate Program",3.5,“Varied experience across industries and geographies with opportunities to work across functions within Human Resources and Change Management”,"Flexibility, Opportunities
","
Not the best paymaster, image in the market",,"Experienced in Human ResourcesDallas, TX2017",VERIFIED EMPLOYEE
"Wipro Limited
Related Internships:  Wipro Global 100 Summer Associate Program",3.5,“Happy to have a job”,"Coworkers, work location, work schedule
","
Poor management, lack of training, no opportunity for advancement
","
Negotiate all you can.",Experienced2017,VERIFIED EMPLOYEE
"Wipro Limited
Related Internships:  Wipro Global 100 Summer Associate Program",3.5,“Helped put my Company on the map in the area of Analytics Consulting”,"Ability to interact with and make an impact on clients who are Global Leaders in their industry
","
having to travel on a very restricted budget in terms of airfare and hotels
","
Opportunity to quickly gain exposure to major clients, if you motivated to learn fast and provide thought leadership","PartnerMountain View, CA2017",VERIFIED EMPLOYEE
"Wipro Limited
Related Internships:  Wipro Global 100 Summer Associate Program",3.5,“Walking a tightrope”,"The potential for flexibility, telecommuting, benefits
","
Aging employees less place-able, diminished need for US/Europe resources over India based
","
If you're young, able to travel or relocate and have a quick mind, this is the place for you. Great place to gain experience if you can get a position that's not intended to be filled by offshore resources.","Midlevel in Energy & UtilitiesHouston, TX2017",VERIFIED EMPLOYEE
"Wipro Limited
Related Internships:  Wipro Global 100 Summer Associate Program",3.5,“NamasTE'”,"Paid bench time.
","
Working solo at this site.",,Experienced in Energy & UtilitiesOther2017,VERIFIED EMPLOYEE
"Wipro Limited
Related Internships:  Wipro Global 100 Summer Associate Program",3.5,“Entry-level in Health Care and/or Pharmaceuticals”,"Work-Life Balance
","
Poor Compensation and mentoring",,"Chicago, IL2017",VERIFIED EMPLOYEE
"Wipro Limited
Related Internships:  Wipro Global 100 Summer Associate Program",3.5,“Ok to work for but it is an Indian company and tries to make everyone conform as such.”,"
Most things are 'hosted' in India, whether computer systems or training. That is a hassle.",,,"Experienced in Energy & UtilitiesHouston, TX2017",VERIFIED EMPLOYEE
"Wipro Limited
Related Internships:  Wipro Global 100 Summer Associate Program",3.5,“Talented people make a difference”,"It's a large company
","
Too much bureaucracy and ""one size must fit all"" thinking
","
There are lot's of clients in different markets so there is opportunity to be exposed to exciting new projects.","Experienced in Energy & UtilitiesCalgary, Canada2017",VERIFIED EMPLOYEE
"Wipro Limited
Related Internships:  Wipro Global 100 Summer Associate Program",3.5,“Experienced in Financial Services”,"Self learning
","
Its big....",,"Boston, MA2017",VERIFIED EMPLOYEE
"Wipro Limited
Related Internships:  Wipro Global 100 Summer Associate Program",3.5,“Global Cloud Adoption Champion”,"Engagement opportunities, challenging customer base, breadth and diversity of offers.
","
Budget approvals, Multiple layers of Business / Functional teams.
","
Look into Gartner reports for the recent technologies and how our firm compares to other players, and you will quickly find where your next career role should be landing.","ExecutiveRedmond, WA2017",VERIFIED EMPLOYEE
"Wipro Limited
Related Internships:  Wipro Global 100 Summer Associate Program",3.5,“Company is loyal to it's employees.”,"Clients and Teams
","
Travel and Expenses
","
Job opportunities are very good, but focused on current and emerging technologies like digital.","Experienced in IT StrategyDenver, CO2017",VERIFIED EMPLOYEE
