,index,Survey_Question,SEAF_Vectors,Unnamed_2,Master_Framework,"('indicator_from_Master_Framework_',)","('What_Works',)","('Trigger_for_Recommending_What_Works',)","('SEAF_Themes',)","('Type',)","('SEAF_Scoring_parameter',)",vector,parameter,par
10,10,Does the company undertake an objective gender pay gap audit or evaluation by internal or external parties at least every ï¬ve years to ensure jobs of equal value are remunerated equally?,Pay equity ,,WRK_EQREMU_F_93,Does the law mandate equal remuneration for work of equal value?,Conduct salary gap analysis to determine if there are gender differences and adjust salaries to close identified gaps (Compensation) ,No,Pay,Monitoring & Evaluation,"Yes/no response contributing to sub-parameter score
",,,
11,11,Does the company have clear criteria for rewards that link to the performance review process and ask managers to justify their decisions on personal budget allocation?,Pay equity ,,WRK_EQREMU_F_93,Does the law mandate equal remuneration for work of equal value?,Design and implement a fair and unbiased employee performance management and appraisal system and process (Performance Management),No,Performance Review,Practice,"Yes/no response contributing to sub-parameter score
",,,
12,12,Does the company publicly report its gender wage gap?,Pay equity ,,,,Disclose gender equality and diversity targets and/or key performance  indicators (KPIs) on gender equality and D&I in publicly available reports and indices (Company Reporting),No,Pay,Communication/ Reporting,"Yes/no response contributing to sub-parameter score
",Pay Equity,Approach to Advance Pay Equity,Accountability and Transparency
13,13,Does the company encourage collective bargaining? This could include peer networks among women employees and promoting peer-to-peer support helping women to build solidarity networks and collectively articulate their compensation priorities and needs.,Pay equity ,,"WRK_UNVIOL_T_5025,WRK_COLBRG_T_5030,WRK_UNIONM_T_5031","Violation of trade union rights on a scale of 1 (generally guaranteed collective rights) to 5 (no guarantee of rights), % of total employees whose pay and/or conditions of employment are determined by one or more collective bargaining agreement(s), % of employees who are union members","Support, encourage, and ensure workers have access to collective bargaining",No,Unionization & Collective Bargaining,Practice,"Yes/no response contributing to sub-parameter score
",Pay Equity,Approach to Advance Pay Equity,Implementation
14,14,"For the company that offers employee stock option plan for its employees, does the company provide equal benefits and communicate employee stock option benefits to all employees?",Pay equity ,,,,"Conduct equity and impact analysis of benefits, including usage/uptake of benefits (Benefits)*Collect and analyze sex-disaggregated data at the company level and use the data to regularly monitor progress of gender equity interventions (Company Performance) ",No,Employee Stock Options,"Practice,Communication/ Reporting","Yes/no response contributing to sub-parameter score
",,,
15,15,Does the company have specific policies and practices that provide employees a smooth return to work after maternity and/or paternity leave including the same or equivalent position and pay?,Pay equity ,,,,"Establish childcare facilities (e.g., crÃ¨che or nursery) or provide monetary assistance with childcare arrangements (Benefits)",No,"Maternity/ Paternity Leave,Return to Work","Policy,Practice","Yes/no response contributing to sub-parameter score
",,,
16,16,"Does the company conduct pay equity analysis upon commencement, yearly, and on promotion to analyze where gaps exist and either seek justiï¬cation for any imbalances or work to eliminate them?",Pay equity ,,WRK_EQREMU_F_93,Does the law mandate equal remuneration for work of equal value?,"Adopt a salary equity policy with mechanisms for analysis and redress (Policies)*Conduct salary gap analysis to determine if there are gender differences and adjust salaries to close identified gaps (Compensation) *Conduct equity and impact analysis of benefits, including usage/uptake of benefits (Benefits)",No,"Pay,Promotion",Monitoring & Evaluation,"Yes/no response contributing to sub-parameter score
",,,
17,17,What is the company's women/men compensation ratio for hourly employees? (percent of women's to men's),Pay equity ,,,,,"Score= 1, 2, 3, or 4",Pay,Practice,Parameter scoring framework: 0-60% [score of 1]; 61-75% [score of 2]; 76-85% [score of 3]; 86-95% [score of 4]; >95% [score of 5],,,
18,18,What is the company's compensation ratio for salaried employees? (percent of women's to men's),Pay equity ,,,,,"Score= 1, 2, 3, or 4",Pay,Practice,Parameter scoring framework: 0-60% [score of 1]; 61-75% [score of 2]; 76-85% [score of 3]; 86-95% [score of 4]; >95% [score of 5],,,
19,19,What is the women/men ratio of the company's top 10% compensated employees? (percent of women to men),Pay equity ,,,,,"Score= 1, 2, 3, or 4",Pay,Practice,Parameter scoring framework: 0-60% [score of 1]; 61-75% [score of 2]; 76-85% [score of 3]; 86-95% [score of 4]; >95% [score of 5],,,
20,20,"Does the company provide support for working parents such as employeesâ€™ family network, advice and referrals, and/or childcare subsidies?",women's workforce participation ,,CAR_MINUTE_F_122,# of minutes per day that women spend on unpaid care work,"Establish childcare facilities (e.g., crÃ¨che or nursery) or provide monetary assistance with childcare arrangements (Benefits)",No,Care Duties,Practice,"Yes/no response contributing to sub-parameter score
",,,
21,21,"Does the company employ tools or techniques to ensure fair hiring practices (e.g., blind evaluation, structured recruitment process, and/or diverse membership for selection committees?",women's workforce participation ,,"WRK_ECBIAS_F_64,WRK_EMPDIS_F_91","% of women that express economic gender bias (believe that men have more right to a job or make better business executives than women), Does the law prohibit discrimination in employment based on gender?",Apply equitable and inclusive recruitment and hiring practices (Recruiting & Hiring)*Conduct a diversity hiring audit to determine what is not contributing to gender equality and diversity goals (Hiring),No,Recruitment,Practice,"Yes/no response contributing to sub-parameter score
",,,
22,22,Does the company regularly collect data on women's participation in diï¬€erent levels within the organization?,women's workforce participation ,,"WRK_ECBIAS_F_64,WRK_SRMANG_F_1030","% of women that express economic gender bias (believe that men have more right to a job or make better business executives than women), % of senior and middle management positions held by women",Collect and analyze sex-disaggregated data at the company level and use the data to regularly monitor progress of gender equity interventions (Company Performance) ,No,Equal Participation,Monitoring & Evaluation,"Yes/no response contributing to sub-parameter score
",,,
23,23,"Does the company provide support to expecting, new and nursing parents, including retention policies after childbirth?",women's workforce participation ,,CAR_PARENT_F_124,Employment-to-population ratio for women with children ages 0-5,Establish policies to promote reconciliation of work-life and family-life (Policies)*Support employees with caregiving responsibilities through family-friendly policies and practices,No,Care Duties,Practice,"Yes/no response contributing to sub-parameter score
",Women's Workforce Participation,Approach to Gender Diversity in Recruitment,Commitment
24,24,Does the company set up mandatory training to train all the recruitment team to understand potential unconscious biases in recruitment and selection processes?,women's workforce participation ,,"WRK_EMPDIS_F_91,WRK_ECBIAS_F_64","Does the law prohibit discrimination in employment based on gender?, % of women that express economic gender bias (believe that men have more right to a job or make better business executives than women)","Apply equitable and inclusive recruitment and hiring practices (Recruiting & Hiring)*Conduct a diversity hiring audit to determine what is not contributing to gender equality and diversity goals (Hiring)*Develop and conduct gender awareness, anti-discrimination, diversity and inclusion, and unconscious bias trainings (Training)",No,"Discrimination,Recruitment",Practice,"Yes/no response contributing to sub-parameter score
",Women's Workforce Participation,Approach to Gender Diversity in Recruitment,Communication
25,25,"Does the company forbid inquiring about the status or plans of the following in job applications or during interview processes: marriage, pregnancy or care responsibilities?",women's workforce participation ,,"WRK_EMPDIS_F_91,GBV_PRGDIS_F_164","Does the law prohibit discrimination in employment based on gender?, Is dismissal of pregnant workers prohibited?",Apply equitable and inclusive recruitment and hiring practices (Recruiting & Hiring)*Conduct a diversity hiring audit to determine what is not contributing to gender equality and diversity goals (Hiring),No,"Recruitment,Discrimination",Policy,"Yes/no response contributing to sub-parameter score
",Women's Workforce Participation,Approach to Gender Diversity in Recruitment,Implementation
26,26,"Does the company prohibit inquiring about the candidate status (e.g., marital status, pregnancy or care responsibilities) in job applications or during the interview processes?",women's workforce participation ,,WRK_EMPDIS_F_91,Does the law prohibit discrimination in employment based on gender?,Apply equitable and inclusive recruitment and hiring practices (Recruiting & Hiring)*Conduct a diversity hiring audit to determine what is not contributing to gender equality and diversity goals (Hiring),No,Recruitment,Policy,"Yes/no response contributing to sub-parameter score
",Women's Workforce Participation,Approach to Gender Diversity in Recruitment,Commitment
27,27,Does the company take proactive steps to recruit women in traditionally underrepresented roles?,women's workforce participation ,,"WRK_ECBIAS_F_64,WRK_PAIDWK_F_66,WRK_JOBOPP_F_94","% of women that express economic gender bias (believe that men have more right to a job or make better business executives than women), % of women who agree that a woman in their family should be able to work for pay outside of the home, Can a woman get a job in the same way as a man?","Invite girls with diverse social identities to become familiar with the company (Attraction)*Inspire, motivate, and encourage young girls to study STEM subjects and to strive for a career in STEM industries (Attraction)*Conduct outreach to educational institutions that leads to long-term attraction of female job candidates with diverse social identities (Talent Outreach)*Use internship programs to promote technical jobs and the company as an employer of choice for women and men with diverse social identities (Talent Outreach)*Offer scholarships to female students with a focus on STEM subjects (Talent Outreach)*Use mentorship programs to promote technical jobs and the company as employer of choice (Talent Outreach)*Attract more diverse women candidates through inclusive job ads (Recruiting)*Consider targeted hiring to fill open positions and increase overall percentage of women in the company in general and/or in the technical areas (Recruiting & Hiring)*Participate in (university) career fairs and regional job fairs to recruit qualified women with diverse social identities (Recruiting)*Apply equitable and inclusive recruitment and hiring practices (Recruiting & Hiring)*Conduct a diversity hiring audit to determine what is not contributing to gender equality and diversity goals (Hiring)*Use internship programs for direct hiring, with gender parity in intern placements and hiring (Hiring)*Create working conditions that support improved reconciliation of work and family life for women and men with care duties (Benefits)*Establish childcare facilities (e.g., crÃ¨che or nursery) or provide monetary assistance with childcare arrangements (Benefits)*Assess diverse talent pipeline health by identifying talent and leadership development needs through gap analysis (Talent & Leadership Development)*Dedicate budget and track use of financial resources to increase gender equality and diversity (Company Performance)*Build a successful employer brand that is attractive to female candidates and individuals with diverse social identities (Corporate Branding)*Create working conditions that support improved reconciliation of work and family life for women and men with care duties*Create working conditions that support improved reconciliation of work and family life for women and men with care duties*Create working conditions that support improved reconciliation of work and family life for women and men with care duties*Create working conditions that support improved reconciliation of work and family life for women and men with care duties*Create working conditions that support improved reconciliation of work and family life for women and men with care duties*Create working conditions that support improved reconciliation of work and family life for women and men with care duties*Create working conditions that support improved reconciliation of work and family life for women and men with care duties*Create working conditions that support improved reconciliation of work and family life for women and men with care duties*Create working conditions that support improved reconciliation of work and family life for women and men with care duties*Create working conditions that support improved reconciliation of work and family life for women and men with care duties*Create working conditions that support improved reconciliation of work and family life for women and men with care duties*Create working conditions that support improved reconciliation of work and family life for women and men with care duties*Create working conditions that support improved reconciliation of work and family life for women and men with care duties*Create working conditions that support improved reconciliation of work and family life for women and men with care duties*Create working conditions that support improved reconciliation of work and family life for women and men with care duties*Create working conditions that support improved reconciliation of work and family life for women and men with care duties*Create working conditions that support improved reconciliation of work and family life for women and men with care duties",No,"Recruitment,Equal Participation",Practice,"Yes/no response contributing to sub-parameter score
",Women's Workforce Participation,Approach to Gender Diversity in Recruitment,Implementation
28,28,Are there clear selection criteria that are free of gender bias?,women's workforce participation ,,"WRK_ECBIAS_F_64,WRK_EMPDIS_F_91","% of women that express economic gender bias (believe that men have more right to a job or make better business executives than women), Does the law prohibit discrimination in employment based on gender?",Apply equitable and inclusive recruitment and hiring practices (Recruiting & Hiring)*Conduct a diversity hiring audit to determine what is not contributing to gender equality and diversity goals (Hiring),No,Discrimination,Practice,"Yes/no response contributing to sub-parameter score
",Women's Workforce Participation,Approach to Gender Diversity in Recruitment,Implementation
29,29,Does the company share gender diversity performance with their employees?,women's workforce participation ,,,,Disclose gender equality and diversity targets and/or key performance  indicators (KPIs) on gender equality and D&I in publicly available reports and indices (Company Reporting),No,Equal Participation,Communication/ Reporting,"Yes/no response contributing to sub-parameter score
",Women's Workforce Participation,Approach to Gender Diversity in Recruitment,Accountability and Transparency
30,30,Does the company have due diligence and remediation processes in place to identify and address violations of recruitment policies that are based on gender discrimination?,women's workforce participation ,,WRK_EMPDIS_F_91,Does the law prohibit discrimination in employment based on gender?,Conduct a diversity hiring audit to determine what is not contributing to gender equality and diversity goals (Hiring)*Dedicate budget and track use of financial resources to increase gender equality and diversity (Company Performance),No,"Recruitment,Discrimination",Monitoring & Evaluation,"Yes/no response contributing to sub-parameter score
",Women's Workforce Participation,Approach to Gender Diversity in Recruitment,Implementation
31,31,"Does the company have an exit interview in its human resources process? If so, are gender-related questions, for example, gender discrimination, included in the interview?",women's workforce participation ,,"WRK_WRYHAR_F_4056,WRK_HARASS_F_4057,WRK_EMPDIS_F_91","% of female workers who worry about violence and harassment as a source of risk to their personal safety while working, % of female workers who have experienced, or know someone from work who has experienced, physical violence or harassment while working in the past two years, Does the law prohibit discrimination in employment based on gender?",Consistently conduct gender-sensitive exit interviews ,No,Turnover,Practice,"Yes/no response contributing to sub-parameter score
",,,
32,32,Does the company communicate non-discrimination and equal opportunity policy to potential employees in job applications and at the time of hiring?,women's workforce participation ,,,,"Communicate company commitment to gender equality, diversity, and inclusion during onboarding (Onboarding)*Build a successful employer brand that is attractive to female candidates and individuals with diverse social identities (Corporate Branding)",No,Discrimination,Communication/ Reporting,"Yes/no response contributing to sub-parameter score
",Women's Workforce Participation,Approach to Gender Diversity in Recruitment,Communication
33,33,Does the company track employee recruitment and reasons for turnover disaggregated by sex?,women's workforce participation ,,,,Collect and analyze sex-disaggregated data at the company level and use the data to regularly monitor progress of gender equity interventions (Company Performance) ,No,"Recruitment,Turnover",Monitoring & Evaluation,"Yes/no response contributing to sub-parameter score
",Women's Workforce Participation,Approach to Gender Diversity in Recruitment,Implementation
34,33,Does the company track employee recruitment and reasons for turnover disaggregated by sex?,women's workforce participation ,,,,Collect and analyze sex-disaggregated data at the company level and use the data to regularly monitor progress of gender equity interventions (Company Performance) ,No,"Recruitment,Turnover",Monitoring & Evaluation,"Yes/no response contributing to sub-parameter score
",Women's Workforce Participation,Approach to Gender Diversity in Recruitment,Measurement
35,34,Does the company communicate or train hiring managers on approaches to ensure non-discrimination in recruitment practices?,women's workforce participation ,,"WRK_EMPDIS_F_91,WRK_ECBIAS_F_64","Does the law prohibit discrimination in employment based on gender?, % of women that express economic gender bias (believe that men have more right to a job or make better business executives than women)","Apply equitable and inclusive recruitment and hiring practices (Recruiting & Hiring)*Conduct a diversity hiring audit to determine what is not contributing to gender equality and diversity goals (Hiring)*Provide company-wide employee and specialized management training on gender equality and diversity strategies, policies and codes of conduct (Training)*Establish a corporate-level equal employment opportunity (EEO) policy (Policy)",No,Discrimination,Practice,"Yes/no response contributing to sub-parameter score
",,,
36,35,"Does the company set a target for gender representation, as well as record and review gender-related hiring proï¬les?",women's workforce participation ,,WRK_SRMANG_F_1030,% of senior and middle management positions held by women,Set a quota for women's employment*Collect and analyze sex-disaggregated data at the company level and use the data to regularly monitor progress of gender equity interventions (Company Performance) ,No,"Equal Participation,Recruitment",Monitoring & Evaluation,"Yes/no response contributing to sub-parameter score
",,,
37,36,Does the company conduct and review employee satisfaction surveys to evaluate the gender inclusivity of the organization?,women's workforce participation ,,,,Use workplace climate and employee satisfaction surveys to identify gender equality and diversity and inclusion challenges (Retention),No,Discrimination,Monitoring & Evaluation,"Yes/no response contributing to sub-parameter score
",Women's Workforce Participation,Approach to Gender Diversity in Recruitment,Accountability and Transparency
38,37,Does the company ensure gender-balanced interview panels during hiring processes?,women's workforce participation ,,WRK_ECBIAS_F_64,% of women that express economic gender bias (believe that men have more right to a job or make better business executives than women),Apply equitable and inclusive recruitment and hiring practices (Recruiting & Hiring),No,Recruitment,Practice,"Yes/no response contributing to sub-parameter score
",Women's Workforce Participation,Approach to Gender Diversity in Recruitment,Implementation
39,38,Does the company review job descriptions and recruitment advertisements to ensure gender-neutral language and images are used?,women's workforce participation ,,,,"Showcase company as a good place for women with diverse social identities to work (Attraction)*Attract more diverse women candidates through inclusive job ads (Recruiting)*Assess and revise internal and external communications to communicate gender equality, diversity, and inclusion commitment and provide gender equitable messaging, language and  photos (Corporate Communication)*Build a successful employer brand that is attractive to female candidates and individuals with diverse social identities (Corporate Branding)",No,Job Descriptions,Monitoring & Evaluation,"Yes/no response contributing to sub-parameter score
",Women's Workforce Participation,Approach to Gender Diversity in Recruitment,Implementation
40,39,Does the company provide written contracts for all workers (both salaried and hourly) that can be referenced in case of a disagreement?,women's workforce participation ,,,,Ensure that all workers have a written contract,No,"Recruitment,Working Conditions",Practice,"Yes/no response contributing to sub-parameter score
",Women's Workforce Participation,Approach to Gender Diversity in Recruitment,Commitment
41,40,Does the company ensure that both women and men candidates are shortlisted for interviews?,women's workforce participation ,,,,Consider targeted hiring to fill open positions and increase overall percentage of women in the company in general and/or in the technical areas (Recruiting & Hiring)*Apply equitable and inclusive recruitment and hiring practices (Recruiting & Hiring),No,Recruitment,Practice,"Yes/no response contributing to sub-parameter score
",Women's Workforce Participation,Approach to Gender Diversity in Recruitment,Implementation
42,41,Does the company report its progress and target improvement on gender diversity in recruitment (if any) to the Board of Directors?,women's workforce participation ,,,,"Develop a business case for gender equality, diversity, and inclusion based on company-specific gender and diversity assessment (Corporate Culture & Leadership)*Collect and analyze sex-disaggregated data at the company level and use the data to regularly monitor progress of gender equity interventions (Company Performance) *Disclose gender equality and diversity targets and/or key performance  indicators (KPIs) on gender equality and D&I in publicly available reports and indices (Company Reporting)",No,Equal Participation,Communication/ Reporting,"Yes/no response contributing to sub-parameter score
",,,
43,42,Does the company take proactive steps to recruit women at all levels?,women's workforce participation ,,"WRK_ECBIAS_F_64,WRK_PAIDWK_F_66,WRK_JOBOPP_F_94,WRK_SRMANG_F_1030,WRK_WAGEGP_T_1039","% of women that express economic gender bias (believe that men have more right to a job or make better business executives than women), % of women who agree that a woman in their family should be able to work for pay outside of the home, Can a woman get a job in the same way as a man?, % of senior and middle management positions held by women, % gender wage gap","Attract more diverse women candidates through inclusive job ads (Recruiting)*Consider targeted hiring to fill open positions and increase overall percentage of women in the company in general and/or in the technical areas (Recruiting & Hiring)*Apply equitable and inclusive recruitment and hiring practices (Recruiting & Hiring)*Conduct a diversity hiring audit to determine what is not contributing to gender equality and diversity goals (Hiring)*Create working conditions that support improved reconciliation of work and family life for women and men with care duties (Benefits)*Establish childcare facilities (e.g., crÃ¨che or nursery) or provide monetary assistance with childcare arrangements (Benefits)*Assess diverse talent pipeline health by identifying talent and leadership development needs through gap analysis (Talent & Leadership Development)*Develop a strategy and change management plan to promote gender equality, diversity, and inclusion throughout the company (Corporate Culture)*Dedicate budget and track use of financial resources to increase gender equality and diversity (Company Performance)*Review and revise all company policies to support gender equality, diversity, and inclusion goals (Policies)*Build a successful employer brand that is attractive to female candidates and individuals with diverse social identities (Corporate Branding)*Create working conditions that support improved reconciliation of work and family life for women and men with care duties*Create working conditions that support improved reconciliation of work and family life for women and men with care duties*Create working conditions that support improved reconciliation of work and family life for women and men with care duties*Create working conditions that support improved reconciliation of work and family life for women and men with care duties*Create working conditions that support improved reconciliation of work and family life for women and men with care duties*Create working conditions that support improved reconciliation of work and family life for women and men with care duties*Create working conditions that support improved reconciliation of work and family life for women and men with care duties*Create working conditions that support improved reconciliation of work and family life for women and men with care duties*Create working conditions that support improved reconciliation of work and family life for women and men with care duties*Create working conditions that support improved reconciliation of work and family life for women and men with care duties*Create working conditions that support improved reconciliation of work and family life for women and men with care duties*Create working conditions that support improved reconciliation of work and family life for women and men with care duties*Create working conditions that support improved reconciliation of work and family life for women and men with care duties*Create working conditions that support improved reconciliation of work and family life for women and men with care duties*Create working conditions that support improved reconciliation of work and family life for women and men with care duties*Create working conditions that support improved reconciliation of work and family life for women and men with care duties*Create working conditions that support improved reconciliation of work and family life for women and men with care duties",No,"Recruitment,Equal Participation",Practice,"Yes/no response contributing to sub-parameter score
",Women's Workforce Participation,Approach to Gender Diversity in Recruitment,Implementation
44,43,"Does the company keep data on applications received, candidates invited and candidates actually hired disaggregated by sex?",women's workforce participation ,,WRK_ECBIAS_F_64,% of women that express economic gender bias (believe that men have more right to a job or make better business executives than women),Conduct a diversity hiring audit to determine what is not contributing to gender equality and diversity goals (Hiring),No,Recruitment,Monitoring & Evaluation,"Yes/no response contributing to sub-parameter score
",Women's Workforce Participation,Approach to Gender Diversity in Recruitment,Measurement
45,44,"Does the company offer a ï¬‚exible work arrangement (e.g., remote work, a shift in working hours, an ability to leave early for occasional situations, and/or use of teleconference for meetings)?",women's workforce participation ,,CAR_MINUTE_F_122,# of minutes per day that women spend on unpaid care work,Create working conditions that support improved reconciliation of work and family life for women and men with care duties (Benefits)*Establish policies to promote reconciliation of work-life and family-life (Policies)*Create working conditions that support improved reconciliation of work and family life for women and men with care duties*Create working conditions that support improved reconciliation of work and family life for women and men with care duties*Create working conditions that support improved reconciliation of work and family life for women and men with care duties*Create working conditions that support improved reconciliation of work and family life for women and men with care duties*Create working conditions that support improved reconciliation of work and family life for women and men with care duties*Create working conditions that support improved reconciliation of work and family life for women and men with care duties*Create working conditions that support improved reconciliation of work and family life for women and men with care duties*Create working conditions that support improved reconciliation of work and family life for women and men with care duties*Create working conditions that support improved reconciliation of work and family life for women and men with care duties*Create working conditions that support improved reconciliation of work and family life for women and men with care duties*Create working conditions that support improved reconciliation of work and family life for women and men with care duties*Create working conditions that support improved reconciliation of work and family life for women and men with care duties*Create working conditions that support improved reconciliation of work and family life for women and men with care duties*Create working conditions that support improved reconciliation of work and family life for women and men with care duties*Create working conditions that support improved reconciliation of work and family life for women and men with care duties*Create working conditions that support improved reconciliation of work and family life for women and men with care duties*Create working conditions that support improved reconciliation of work and family life for women and men with care duties,No,Flexible Working,Practice,"Yes/no response contributing to sub-parameter score
",,,
46,45,Does the company advertise job vacancies through multiple media channels to ensure the greatest reach?,women's workforce participation ,,,,Showcase company as a good place for women with diverse social identities to work (Attraction)*Attract more diverse women candidates through inclusive job ads (Recruiting),No,Recruitment,Practice,"Yes/no response contributing to sub-parameter score
",Women's Workforce Participation,Approach to Gender Diversity in Recruitment,Communication
47,46,Is there a named individual responsible for the company's gender representation goal?,women's workforce participation ,,,,Conduct a diversity hiring audit to determine what is not contributing to gender equality and diversity goals (Hiring)*Dedicate budget and track use of financial resources to increase gender equality and diversity (Company Performance),No,Equal Participation,Practice,"Yes/no response contributing to sub-parameter score
",,,
48,47,What is the percentage of women ownership?,Gender-diverse leadership and governance  ,,WRK_ECBIAS_F_64,% of women that express economic gender bias (believe that men have more right to a job or make better business executives than women),Promote gender equality and D&I at all levels of the company *Develop structured and longterm leadership development plan to include women with diverse social identities at all leadership levels (Leadership Development),No,"Equal Participation,Leadership",Practice,,,,
