,company,company_rating,title,content,author,year
33,"Bank of America Corp.
",4,diversity_review,['The bank does a lot of positive things around diversity and inclusion as well as green and philanthropic practices including monetary and business practice commitments.'],Mid-level in Sales & TradingNew York,['2020']
34,"Bank of America Corp.
",4,diversity_review,"[""We've developed an Ally program for LGBTQ+ colleagues, where volunteers take part in open dialogue. We have programs specifically designed to help veterans including job placement services within the firm and rotational opportunities. Our ESG initiatives are second to none.""]",ExperiencedNew York,['2020']
35,"Bank of America Corp.
",4,diversity_review,['The firm is committed to green investments and is in the forefront of banks. The firm is actively working on diversity issues and has implemented a number of new strategies to help promote diverse culture. There is still a long way to go but changes are happening.'],Houston,['2020']
36,"Bank of America Corp.
",4,diversity_review,"['Best--extensive community engage and charitable donations to various initiatives.', ""Worst--Bank of America has not done enough to support and improve the environment. For example, they should encourage virtual meetings rather than in-person meetings which require a flight. Bank of America would be better off (from a cost and environmental perspective) if they eliminated their printers and photo copiers and required everything to go online. BofA should put policies in place that encourage / require employees to bring tablets or laptops to client meetings and present to clients using an electronic presentation (rather than provide hand-out's or physical pitch books).""]",New York,['2020']
37,"RSM US LLP
",4,diversity_review,['I think they are doing a great job.'],Experienced in TaxStamford,['2021']
38,"RSM US LLP
",4,diversity_review,"[""The firm has annual programs and events, cultural and diversity groups and conferences, etc. There's a huge push for employees to join these programs and you feel a great support from all levels in the company while in these groups.""]",Mid-level in Audit & AssuranceLas Vegas,['2021']
39,"RSM US LLP
",4,diversity_review,['The firm supports giving back to the community. There are programs to earn money for charities based on your participation.'],Experienced in TaxSan Antonio,['2021']
40,"RSM US LLP
",4,diversity_review,['see above'],Des Moines,['2021']
41,"RSM US LLP
",4,diversity_review,['I wonder if the best people are hired for the job or if diversity outweighs abilities.'],Executive in TaxPhoenix,['2021']
42,"RSM US LLP
",4,diversity_review,"[""We have several groups that employees can join relating to cultural diversity, which meet on either a monthly or quarterly basis, and coordinate firm activities and webcasts relating to their group. The firm is also involved with charitable activities on a national basis, and specifically in our office we raise money throughout the year for the Phoenix Children's Hospital. The firm also has a volunteer day where each office chooses a local charity to participate with to help raise money or provide services needed by the charity.""]",Experienced in External AuditPhoenix,['2021']
43,"RSM US LLP
",4,diversity_review,"[""The firm has really invested in CDI groups to help promote these initiatives and raise awareness. Even if not involved with a group, the presence is felt by providing them resources to hold local and national events. I really can't say anything bad about it.""]",Experienced in Audit & AssuranceFort Lauderdale,['2021']
44,"RSM US LLP
",4,diversity_review,"['CDI is a strong element of the firm. We have 11 different employee network groups that focus on supporting various groups including women, various races and ethnicities, LGBTQ+, disabilities, veterans, etc.']",Mid-level in TaxOmaha,['2021']
45,"RSM US LLP
",4,diversity_review,['RSM has established CDI groups within the organization that address these groups and allow others the opportunity to become involved'],Entry-level in External AuditChicago,['2021']
46,"RSM US LLP
",4,diversity_review,['Great in this area through many events and giving'],Experienced in Audit & AssuranceDallas,['2021']
47,"RSM US LLP
",4,diversity_review,['I think they are doing a great job.'],Experienced in TaxStamford,['2021']
48,"RSM US LLP
",4,diversity_review,"[""The firm has annual programs and events, cultural and diversity groups and conferences, etc. There's a huge push for employees to join these programs and you feel a great support from all levels in the company while in these groups.""]",Mid-level in Audit & AssuranceLas Vegas,['2021']
49,"RSM US LLP
",4,diversity_review,['The firm supports giving back to the community. There are programs to earn money for charities based on your participation.'],Experienced in TaxSan Antonio,['2021']
50,"RSM US LLP
",4,diversity_review,['see above'],Des Moines,['2021']
51,"RSM US LLP
",4,diversity_review,['I wonder if the best people are hired for the job or if diversity outweighs abilities.'],Executive in TaxPhoenix,['2021']
52,"RSM US LLP
",4,diversity_review,"[""We have several groups that employees can join relating to cultural diversity, which meet on either a monthly or quarterly basis, and coordinate firm activities and webcasts relating to their group. The firm is also involved with charitable activities on a national basis, and specifically in our office we raise money throughout the year for the Phoenix Children's Hospital. The firm also has a volunteer day where each office chooses a local charity to participate with to help raise money or provide services needed by the charity.""]",Experienced in External AuditPhoenix,['2021']
53,"RSM US LLP
",4,diversity_review,"[""The firm has really invested in CDI groups to help promote these initiatives and raise awareness. Even if not involved with a group, the presence is felt by providing them resources to hold local and national events. I really can't say anything bad about it.""]",Experienced in Audit & AssuranceFort Lauderdale,['2021']
54,"RSM US LLP
",4,diversity_review,"['CDI is a strong element of the firm. We have 11 different employee network groups that focus on supporting various groups including women, various races and ethnicities, LGBTQ+, disabilities, veterans, etc.']",Mid-level in TaxOmaha,['2021']
55,"RSM US LLP
",4,diversity_review,['RSM has established CDI groups within the organization that address these groups and allow others the opportunity to become involved'],Entry-level in External AuditChicago,['2021']
56,"RSM US LLP
",4,diversity_review,['Great in this area through many events and giving'],Experienced in Audit & AssuranceDallas,['2021']
57,"RSM US LLP
",4,diversity_review,['Best aspect is having events and groups specific for each marginalized group. Worst aspect is lack of specific activities and events to support environmental safekeeping practices'],Kansas City,['2021']
58,"RSM US LLP
",4,diversity_review,['appreciate they match my volunteer hours. They pay my charity $500 if I volunteer 40 hours'],Tempe,['2021']
59,"RSM US LLP
",4,diversity_review,"['Best - lots of CDI options and open to all members', 'Worst - more options for volunteering as a group in an RSM sponsored event throughout the year (vs. the day of giving) would be nice']",Experienced in Audit & AssuranceChicago,['2021']
60,"RSM US LLP
",4,diversity_review,"['The Firm continually emphasizes culture, diversity, and inclusion and sponsors continued effort to enhance connectivity amongst employees. The Firm additionally emphasizes the importance of being you and your honest, authentic self.']",Experienced in Audit & AssuranceOrlando,['2021']
61,"RSM US LLP
",4,diversity_review,"[""Lot's of great programs and ENG groups to participate in!!""]",Experienced in Audit & AssuranceNew York,['2021']
62,"RSM US LLP
",4,diversity_review,['The firm excels at promoting equality in the workplace in all areas.'],Experienced in TaxSaint Petersburg,['2021']
63,"RSM US LLP
",4,diversity_review,"[""Best: The firm really encourages those that don't share the lived experience of an employee network group to get involved. This helps foster courageous conversations and better understanding"", ""Worst: Some partners still haven't bought in""]",Experienced in Audit & AssuranceOrlando,['2021']
64,"RSM US LLP
",4,diversity_review,"['Worst --- nothing noted', 'Best -- aside my comments about caving to the leftist ""zeitgeist"" RSM in my experience is a very tolerant and professional group.']",Other in TaxOther2021VERIFIED EMPLOYEE,Nan
65,"RSM US LLP
",4,diversity_review,"[""We have many Employee Network Groups that support many different groups across different cultures and diversity. Our firm hosts an annual community giveback event, and we host an annual fundraising challenge for local charitable organizations around the country which the firm's charitable fund matches up to a certain amount.""]",Experienced in TaxOrlando,['2021']
66,"RSM US LLP
",4,diversity_review,"['RSM senior management is trying to do the right thing, hard to get total buy in from everyone.']",Washington,['2021']
67,"RSM US LLP
",4,diversity_review,['RSM has lots of different CDI groups and they are all inclusive.'],Experienced in TaxTampa,['2021']
68,"RSM US LLP
",4,diversity_review,"[""The firm sponsors a volunteer day each year and also encourages giving through the Birdies Fore Love program, which benefits local charities. I would like to see more input from employees as to which charities are selected (i.e. a survey), but the program itself is excellent and demonstrates the firm's dedication to stewardship.""]",Experienced in TaxRichmond,['2021']
69,"RSM US LLP
",4,diversity_review,['Very open to diversity and supporting and accepting all.'],Experienced in Audit & AssuranceFort Lauderdale,['2021']
70,"RSM US LLP
",4,diversity_review,['Sometimes feels like its something they are required to do instead of something they love to do.'],Experienced in Audit & AssuranceSan Francisco,['2021']
71,"RSM US LLP
",4,diversity_review,['Birdies fore Love is excellent.'],Chicago,['2021']
72,"RSM US LLP
",4,diversity_review,"['RSM works really hard to make the company as diverse as possible and making sure no one feels left out for their gender, race, ethnicity, or sexuality. I do believe everyone can do better in this aspect, even RSM, but they are doing a great job and improving all the time. RSM also gives back to the community as much as we can through various programs, but largely through our yearly giving program. This looked very different in the virtual environment having virtual fundraising events but overall in my office is was very successful.']",Dayton,['2021']
73,"RSM US LLP
",4,diversity_review,"['The RSM Foundation was creating for this very purpose. As part of the Birdies Fore Love program, our firm and our employees raise millions of dollars for our local office charities that go directly to each of our communities. In recent years, we have supporting March of Dimes, Junior Achievement, the Ronald McDonald House, and The Hole in the Wall Gang Camp (camp for terminally ill children founded by Paul Newman). Our firm takes this area very seriously and we contribute with both our resources and our time. We have volunteer days where we are paid to go out into our communities to volunteer for any charitable cause that strikes a chord (habitat for humanity, boys and girls club, junior achievement, hole in the wall gang camp, etc). We also have employee networking groups focused on inclusion (STAR for empowering woman, HOLA for latin heritage, Stars and Stripes for military veterans, Pride for the LGBTQ community, to name a few).']",Experienced in Audit & AssuranceNew Haven,['2021']
74,"RSM US LLP
",4,diversity_review,"['Good, no complaints.']",Mid-level in TaxSaint Louis,['2021']
75,"RSM US LLP
",4,diversity_review,['I am not sure how this is relevant information. I will not take a stance on this.'],Mid-level in Audit & AssuranceDallas,['2021']
76,"RSM US LLP
",4,diversity_review,"['""Dollars for Doers"" is a program that supports each employee\'s volunteer service hours with a monetary donation. It encourages employees to take action in their communities and help organizations that they care about. RSM sponsors company wide events throughout the year that encourage participation in philanthropic activity.']",Mid-levelChicago,['2021']
77,"RSM US LLP
",4,diversity_review,"[""It's a requirement to volunteer and are encouraged to support different non-profit organizations.""]",Mid-level in Audit & AssuranceOmaha,['2021']
78,"RSM US LLP
",4,diversity_review,"['The firm consistently shows support for such practices, without being pushy.']",Executive in Audit & AssuranceMinneapolis,['2021']
79,"RSM US LLP
",4,diversity_review,['too much focus on it. just do your job'],Experienced in Audit & AssuranceBaltimore,['2021']
80,"RSM US LLP
",4,diversity_review,['Too much emphasis.'],Mid-level in TaxTempe,['2021']
81,"RSM US LLP
",4,diversity_review,"['We have an extensive program for ""Cultural, Diversity and Inclusion"" (CDI), that is firm-wide and has several sub groups that employees can be a part of, including groups for women, families, LGBTQ+, Asian, African-American, Latino, Veterans (Valor), and many more. Anyone can join these groups and take part in webinars, in-office activities to celebrate various events (e.g., Black History Month, Veterans Day, Lunar New Year), and there are usually annual conferences where these groups dive into celebrating and educating the various themes associated with the diverse culture groups. We also participate in annual charity events to contribute to Birdies Fore Love which wraps up prior to the RSM classic, and we do an annual volunteer day at two selected not-for-profits in the local area.']",San Diego,['2021']
82,"RSM US LLP
",4,diversity_review,['Our office is always involved in the community and has a number of programs to support diversity in all aspects'],Mid-level in External Audit2021VERIFIED EMPLOYEE,Nan
83,"RSM US LLP
",4,diversity_review,['I would consider RSM as one of the leaders in culture and diversity efforts.'],Experienced in TaxDallas,['2021']
84,"RSM US LLP
",4,diversity_review,"['Best - allows for volunteer hours', 'Worst - based on flexible work option, my choice to not use my time this way - on me']",Experienced in TaxCedar Rapids,['2021']
85,"RSM US LLP
",4,diversity_review,"['Birdies for love with RSM, matching donations, volunteer day and also individual adopted charities per office which RSM partnerships with and helps throughout the year.']",Irvine,['2021']
86,"RSM US LLP
",4,diversity_review,"['The firm promotes diversity, green, and philanthropic practices. One way is through our culture, diversity, and inclusion program that offers all employees an opportunity to join an employee network group (ENG). Those ENGs offer a multitude of programming and opportunities to become leaders and develop within those groups.', ""The firm's Birdies Fore Love program encourages 100% involvement of all employees in planning fundraising events at the local office level and offers a matching contribution from the RSM US Foundation to support the charity that the local office chooses. These events promote inclusion and philanthropic practices.""]",Experienced in Audit & AssuranceOrlando,['2021']
87,"RSM US LLP
",4,diversity_review,"[""We have a multi-month stewardship initiative Birdies Fore Love that is very effective in supporting all local charities as well as national, and is very effective in getting everyone involved and to care - best. Worst - we're probably not very green? The firm is VERY good in diversity and philanthropic practices.""]",Experienced in TaxDallas,['2021']
88,"RSM US LLP
",4,diversity_review,['The culture is very inclusive and the firm wastes a lot of resources on the false premise that discrimination is widespread and universal; when in fact it is generally isolated and rare.'],Houston,['2021']
89,"RSM US LLP
",4,diversity_review,['No issues to note. Our firm is inclusive and also involved in regular community outreach.'],Mid-level in External AuditIndianapolis,['2021']
90,"RSM US LLP
",4,diversity_review,"[""I wish they had a charitable contribution match. They will occasionally match contributions to their own foundation, but I'm not aware of any other match programs""]",Experienced in Audit & AssuranceChicago,['2021']
91,"RSM US LLP
",4,diversity_review,"[""RSM does a great job promoting community involvement and fundraising throughout the year. The awareness and communication around diversity continues to improve. The firm does a great job of promoting and supporting inclusivity and I feel it's well reflected from leadership and our local culture.""]",Experienced in TaxSaint Louis,['2021']
92,"RSM US LLP
",4,diversity_review,['I enjoy participating in our firms philanthropy efforts and appreciate that our firm will match donations and additionally the partners will match and contribute their own funds.'],Kansas City,['2021']
93,"RSM US LLP
",4,diversity_review,"['We have employee network groups to support all groups listed above and more. We also have Birdies Fore Love which is the name of our annual program giving season, concluded by the RSM Classic golf tournament.']",San Diego,['2021']
94,"RSM US LLP
",4,diversity_review,['Multiple opportunities during the year to participate and contribute (either time or money) to firm sponsored social responsibility events.'],Seattle,['2021']
95,"RSM US LLP
",4,diversity_review,"['RSM has several employee networking groups that employees can join to encourage conversation and understanding of all age groups, races, genders, lifestyles, etc. I do think that there is room for improvement but we are moving in the right direction']",Mid-level in Audit & AssuranceChicago,['2021']
96,"RSM US LLP
",4,diversity_review,['No further comments.'],Executive in Audit & AssuranceEdison,['2021']
97,"RSM US LLP
",4,diversity_review,"[""Sponsor several diversity and inclusion groups, with very active senior leadership participation. We have a conference every year to discuss our goals and progress as it relates to this effort. We sponsor the Birdies Fore Love campaign every year to raise money for each office's selected charity. We have 75% participation of employees donating $10 or more in our office.""]",Mid-level in Audit & AssuranceDallas,['2021']
98,"RSM US LLP
",4,diversity_review,"['The company is doing a great job of promoting equality, and have encouraged all employees to join diversity groups of their own personal preference without discriminating.']",Mid-level in TaxPhoenix,['2021']
99,"RSM US LLP
",4,diversity_review,['We usually have a volunteer day once a year where you go out into the community.'],Mid-level in TaxOther2021VERIFIED EMPLOYEE,Nan
100,"RSM US LLP
",4,diversity_review,['this is good'],Houston,['2021']
101,"RSM US LLP
",4,diversity_review,"['There is a strong initiative by the Firm and their foundation (RSM US Foundation) to be stewards in the communities in which we work. Sometimes the donations seem limited by policy, however, there are many opportunities to give and volunteer.']",Experienced in Audit & AssuranceOther2021VERIFIED EMPLOYEE,Nan
102,"RSM US LLP
",4,diversity_review,['Our firm is very committed to their charitable efforts especially Birdies Fore Love'],Mid-level in Audit & AssuranceChicago,['2021']
103,"RSM US LLP
",4,diversity_review,"[""It's probably in line with any other large firm. Not something I pay attention to""]",Mid-level in External AuditNashville,['2021']
104,"RSM US LLP
",4,diversity_review,"['My office is not terribly diverse, but that has more to do with where people choose to live than the firms inclusion.']",Des Moines,['2021']
105,"RSM US LLP
",4,diversity_review,"['We have 11+ employee ""groups"" from disabilities, women, black, Asian, Hispanic, military, LGBTQ, which I feel like is a great step. In addition, they promote volunteering and will ""double"" any work you do with a donation to the same cause. I feel like there could be a bit more emphasis on environmentalism, but I also understand that it\'s hard to cut down with the job we do and promoting it may come across as hypocritical.']",Mid-level in Audit & AssuranceDenver,['2021']
106,"RSM US LLP
",4,diversity_review,['We are always doing events/workshops for culturally inclusive programs.'],Kansas City,['2021']
107,"RSM US LLP
",4,diversity_review,"['Diversity in the firm is sought after but it is definitely something that will be difficult to achieve. While the firm is welcoming, it is hard to seek out these individuals seeking out the career opportunities the firm has to offer, therefore the candidate pools are reduced, not because the firm does not want to seek out these individuals but because there is still a long way to go in having them apply for the opportunities.']",Mid-level in Audit & AssuranceLos Angeles,['2021']
108,"RSM US LLP
",4,diversity_review,"['Best: The firm is taking an active role in improving the culture as it relates to diversity and inclusion and appears to be working towards always improving, which is great. Worst: Because, in general, public accounting is largely white, straight, and old at the top, change seems slow.']",Chicago,['2021']
109,"RSM US LLP
",4,diversity_review,"[""we're doing fine in this area.""]",Oklahoma City,['2021']
110,"RSM US LLP
",4,diversity_review,"['RSM as well as my office are very passionate about giving back (time and money) to some local charities. Our office is passionate about our local charity and work very hard to continue to give to them. (Foster children in homes getting an education). We also have great employee network groups (ENGs) for everyone to join (LGBTQ, Women, Vets, African America, Asian, Latino, Generations, Interfaith, etc). They are great to meet people and learn about others.']",Experienced in TaxIrvine,['2021']
111,"RSM US LLP
",4,diversity_review,"['The firm is trying to push a paperless environment.', 'We have multiple opportunities to volunteer and donate as a frim.']",Experienced in TaxChicago,['2021']
112,"RSM US LLP
",4,diversity_review,"[""Best - Culture, Diversity, and Inclusion (CDI) has been a big initiative for several years. There are many different group that you can join (LGBTQ, disabilities, military, race, ect.) based on what you are looking for. There is a large women's initiative aimed at keeping women within the firm and getting them promoted to partner."", ""Worst - Smaller offices tend to have fewer local CDI groups, so those offices don't get as much interaction as some of the larger offices.""]",Omaha,['2021']
113,"RSM US LLP
",4,diversity_review,"[""Firm offers various employee groups focused on a particular attribute (race, age, sexuality, etc), which are open to anyone. The firm also tries to organize a variety of charitable endeavors, and hosts an annual golf tournament that is heavily pushed in the firm. There is a bit of a sense that the golf tournament is as much about stroking firm ego as it is about actually raising money and helping charitable organizations, and there isn't nearly as much of a push for participation with any of the other philanthropic offering. But the firm does try to ensure the proceeds from these and employee efforts are aimed at local initiatives, which is nice--its not focused on some singular, maybe not applicable to every office endeavor.""]",Experienced in TaxWashington,['2021']
114,"RSM US LLP
",4,diversity_review,"['The firm is making strides in promoting diversity. In some areas of the firm - specific service lines/regions, there are not as many women in leadership roles. There is a LGBTQ+ community in the firm and a number of ethnicities.']",Executive in TaxChicago,['2021']
115,"RSM US LLP
",4,diversity_review,"[""Overall, I feel like the Firm as a whole has been great about all of this; however, I don't really come from any protected class, so I'd really have to defer on matters related to diversity.""]",Phoenix,['2021']
116,"RSM US LLP
",4,diversity_review,['I feel like diversity is encouraged.'],Experienced in TaxTacoma,['2021']
117,"RSM US LLP
",4,diversity_review,"['Our firm focuses on education and children in the communities in which we work. We do several fundraising events throughout the year to raise school supplies, business attire, books, etc. for children and young adults within our communities; focusing on the lower income areas. The firm has worked with various schools to provide education on the accounting profession to encourage children in low income areas and those of color the accounting profession is an option. There is a volunteer day each year where employees from our local office spend the entire day refreshing a school before the start of the year in the fall. The school gets new books, painting, landscaping and other fun new items for the kids to return to. Volunteer day is an event employees look forward to each year as a way to give back to the community.']",Minneapolis,['2021']
118,"RSM US LLP
",4,diversity_review,"['There is non-stop communication on culture, diversity, and inclusion. Almost to the point where it seems to have the opposite affect of its intent.']",Dayton,['2021']
119,"RSM US LLP
",4,diversity_review,"[""Our Firm fundraises by asking it's employees to contribute to a cause, but then aggregates the donations and presents a large check at our golf tournament for good PR.""]",Experienced in Audit & AssuranceWilmington,['2021']
120,"RSM US LLP
",4,diversity_review,['The Firm has numerous CDI groups and participates in many philanthropic and other events that support diversity and inclusion.'],Experienced in TaxMcLean,['2021']
121,"RSM US LLP
",4,diversity_review,['Many philanthropic groups that are offered which hold many events. Also many organizations/groups for all different types of diversity and inclusion efforts.'],Mid-level in TaxChicago,['2021']
122,"RSM US LLP
",4,diversity_review,"['Public accounting in general lacks a variety of diversity, but I think RSM is making strides in the right direction.']",Experienced in TaxRichmond,['2021']
123,"RSM US LLP
",4,diversity_review,"[""The firm does not seem to struggle with diversity outside of the role that race plays. I think it's an uncomfortable position for a lot of people in accounting and mild steps have been taken.""]",Experienced in Tax2021VERIFIED EMPLOYEE,Nan
124,"RSM US LLP
",4,diversity_review,['Good fundraising and matching efforts for charities.'],Experienced in Risk ManagementChicago,['2021']
125,"RSM US LLP
",4,diversity_review,"['The Firm has created several Employee Network Groups to support diversity, pride, faith, veterans, ethnicities, etc.']",Executive in Audit & AssuranceDavenport,['2021']
126,"RSM US LLP
",4,diversity_review,"[""If you're a woman and don't play golf with the bosses, then you aren't going to get promoted to partner. Same goes for the other characteristics. As long as you're friends with the bosses, then you're fine.""]",Experienced in TaxChicago,['2021']
127,"RSM US LLP
",4,diversity_review,"['The programs are thrown down our throats every day. No one cares about the average staff or management who does their job and sees basic rewards. But throw a diverse practice on them, and they are golden. Very difficult to swallow.']",Richmond,['2021']
128,"RSM US LLP
",4,diversity_review,"['People at all levels of the firm are involved in various charitable initiatives. Many partners are on the boards of non-profits and nudge their team to get involved too which I think is great. Pretty much every employee also donates to the firms/offices charitable fund with every paycheck, and there are multiple fund raising drives every year.']",Boston,['2021']
129,"RSM US LLP
",4,diversity_review,"[""I think the firm does a great job with our Foundation, being active in the local community and being philanthropic is many practices. I do think they want to get their name in spots where say the business purposes are and that we could do a little more in gender/race/LGBTQ+ specifically. I don't think public accounting is overly diverse and some of it is just the percentage of people majoring in accounting and getting into public accounting is still mostly white males. I think the firm tries to promote and be intentional about being more diverse, but I do think there is still an unconcious bias in most of our leadership that they assume anyone in their 30's should be family focused especially a woman and that there might be a bad edge to anyone who doesn't fit that old way. But I think our clients, the younger staff, etc. are all getting more diverse and are looking for that diversity and appreciation and we need to continue to promote self well being and that there are many paths and ways to be successful no matter the situation.""]",Boston,['2021']
130,"RSM US LLP
",4,diversity_review,"['Best:RSM as a whole does a lot to promote inclusivity.', ""Worst:They don't always follow that. I am the only women on my team.""]",Mid-level in Audit & AssuranceOther2021VERIFIED EMPLOYEE,Nan
131,"RSM US LLP
",4,diversity_review,"['There are not enough diverse people. There are women leaders, but not enough and definitely not enough women of color. We do have a great CDI program and think we do a nice job representing different groups with our ENGs.']",Minneapolis,['2021']
132,"RSM US LLP
",4,diversity_review,"[""Lot of talk but little action. Put out statements regarding MLK day but don't give you the day off. Talk about hypocrisy. If they really cared why would they not give everyone the day off, tell you to completely disconnect and participate in a public service activity that day.""]",Experienced in TaxKansas City,['2021']
