Question_id,Vector,Parameter,Par,Survey_Question,Question_type,Response_type,score_value,Survey Category
46,Women's Workforce Participation,Approach to Gender Diversity in Recruitment,Measurement,"Does the company keep data on applications received, candidates invited and candidates actually hired disaggregated by sex?",Dichotomous,Yes/No,,
47,Women's Workforce Participation,Approach to Gender Diversity in Recruitment,Accountability and Transparency,Does the company conduct and review employee satisfaction surveys to evaluate the gender inclusivity of the organization?,Dichotomous,Yes/No,,
48,Women's Workforce Participation,Approach to Gender Diversity in Recruitment,Accountability and Transparency,"Does the company set a target for gender representation, as well as record and review gender-related hiring profiles?",Dichotomous,Yes/No,,
49,Women's Workforce Participation,Approach to Gender Diversity in Recruitment,Accountability and Transparency,Is there a named individual responsible for the company’s gender representation goal?,Dichotomous,Yes/No,,
50,Women's Workforce Participation,Approach to Gender Diversity in Recruitment,Accountability and Transparency,Does the company share gender diversity performance with their employees?,Dichotomous,Yes/No,,
51,Women's Workforce Participation,Approach to Gender Diversity in Recruitment,Accountability and Transparency,Does the company report its progress and target improvement (if any) to the Board of Directors?,Dichotomous,Yes/No,,
52,Women's Workforce Participation,Women's Percentage of Salaried Employees,Ratio of salaried women employees,Last Twelve Months Number of Women Salaried Employees,User_input,Integer,"[1,2,3,4,5]",
53,Women's Workforce Participation,Women's Percentage of Salaried Employees,Ratio of salaried women employees,Last Twelve Months Number of Total Salaried Employees,User_input,Integer,"[1,2,3,4,5]",
54,Women's Workforce Participation,Women's Percentage of Hourly Employees,Ratio of hourly women employees,Last Twelve Months Number of Women Hourly Workers,User_input,Integer,,
55,Women's Workforce Participation,Women's Percentage of Hourly Employees,Ratio of hourly women employees,Last Twelve Months Number of Total Hourly Workers,User_input,Integer,,
56,Women's Workforce Participation,Women’s Turnover Ratio,Women Turnover,Last Twelve Months Number of Women (Employees Separated)/(LTM Average Number of Women Employees,User_input,Integer,,
57,Women's Workforce Participation,Women’s Turnover Ratio,Women Turnover,Last Twelve Months Number of Men (Employees Separated)/(LTM Average Number of Men Employees,User_input,Integer,,
58,Gender-Diverse Leadership & Governance,Women’s Board Representation,Ratio of women in the board,End of Year (EoY) Number of Women on the Board ,User_input,Integer,,
59,Gender-Diverse Leadership & Governance,Women’s Board Representation,Ratio of women in the board,EoY Total Number of Board Members,User_input,Integer,,
60,Gender-Diverse Leadership & Governance,Women Senior Management Representation,Ratio of women in senior mgmt,End of Year Number of Women’s Senior Management Members,User_input,Integer,,
61,Gender-Diverse Leadership & Governance,Women Senior Management Representation,Ratio of women in senior mgmt,End of Year Total Number of Senior Management Members,User_input,Integer,,
62,Gender-Diverse Leadership & Governance,Womens's Middle Management Representation,Ratio of women in middle mgmt,End of Year Number of Women’s Middle Management Representatives,User_input,Integer,"[1,2,3,4,5]",
63,Gender-Diverse Leadership & Governance,Womens's Middle Management Representation,Ratio of women in middle mgmt,End of Year Total Number of Middle Management Representatives,User_input,Integer,,
64,Gender-Diverse Leadership & Governance,Womens's Ownership,Ratio of women ownership,End of Year Women’s Ownership (including ESOP Exercised by Female Employee),User_input,Integer,"[1,2,3,4,5]",
65,Gender-Diverse Leadership & Governance,Womens's Ownership,Ratio of women ownership,End of Year Overall Ownership (including ESOP Exercised by All Employees),User_input,Integer,,
66,Gender-Diverse Leadership & Governance,Womens's Ownership,Ratio of stock owned by women Employees,Average Employee Stock Options Exercised by Women Employee,User_input/Filter,Integer/Not Aplicable,,
67,Gender-Diverse Leadership & Governance,Womens's Ownership,Ratio of stock owned by women Employees,Average Employee Stock Options Exercised by All Employees,User_input/Filter,Integer/Not Aplicable,,
68,Benefits & Professional Development,Apporach to Paid Parental Leave,Commitment,Does the company comply with the number of days provided to meet government require- ments or is it higher than the regulated level?,Dichotomous,Yes/No,,
69,Benefits & Professional Development,Apporach to Paid Parental Leave,Commitment,Does the company provide parental leave for all genders?,Dichotomous,Yes/No,,
70,Benefits & Professional Development,Apporach to Paid Parental Leave,Commitment,Does the company provide equal leave benefits to women and men employees?,Dichotomous,Yes/No,,
71,Benefits & Professional Development,Apporach to Paid Parental Leave,Communication,Does the company communicate leave policies to its employees annually and notify employees of any changes?,Dichotomous,Yes/No,,
72,Benefits & Professional Development,Apporach to Paid Parental Leave,Implementation,Does the company provide paid parental leave (and is this above what is required by law)?,Dichotomous,Yes/No,,
73,Benefits & Professional Development,Apporach to Paid Parental Leave,Implementation,Does the company guarantee the right to return to work after parental leave to the same or equivalent position and pay?,Dichotomous,Yes/No,,
74,Benefits & Professional Development,Apporach to Paid Parental Leave,Implementation,"Does the company actively encourage the use of paternity leave (e.g., communicating about the policy, actively promoting employees to take leave, providing examples of leaders taking paternity leave or setting a mandatory requirement to take leave)? ",Dichotomous,Yes/No,,
75,Benefits & Professional Development,Apporach to Paid Parental Leave,Implementation,Does the company inform employees of significant changes at work while they are on maternity or paternity leave?,Dichotomous,Yes/No,,
76,Benefits & Professional Development,Apporach to Paid Parental Leave,Implementation,Does the company provide facilities/rooms and paid time off for breastfeeding or pumping?,Dichotomous,Yes/No,,
77,Benefits & Professional Development,Apporach to Paid Parental Leave,Measurement,"Does the company analyze the uptake rate of different forms of leave benefits, including parental leave, to determine if it is communicating such policies effectively and/or if the company has a culture that discourages taking such benefits?",Dichotomous,Yes/No,,
78,Benefits & Professional Development,Apporach to Paid Parental Leave,Measurement,Does the company track the gender composition of employees taking family leave benefits?,Dichotomous,Yes/No,,
79,Benefits & Professional Development,Apporach to Paid Parental Leave,Measurement,Does the company track the effectiveness of its approach to retain women after maternity leave?,Dichotomous,Yes/No,,
80,Benefits & Professional Development,Apporach to Paid Parental Leave,Accountability and Transparency,Does the company have a review process for its leave policies and benchmark it against industry norms?,Dichotomous,Yes/No,,
81,Benefits & Professional Development,Apporach to Paid Parental Leave,Accountability and Transparency,Does the company address deficiencies in policy and practice?,Dichotomous,Yes/No,,
82,Benefits & Professional Development,Apporach to Paid Parental Leave,Accountability and Transparency,Does the company report its progress and target improvement (if any) to the Board of Directors?,Dichotomous,Yes/No,,
83,Benefits & Professional Development,Apporach to Paid Parental Leave,Accountability and Transparency,Does the company report publicly to company stakeholders and the Board on the number of employees that took parental leave and the return to work and retention rates?,Dichotomous,Yes/No,,
84,Benefits & Professional Development,Approach to Health Insurance Policies and Practices,Commitment,Does the company have a stand-alone policy or a commitment embedded in a broader corporate policy that recognizes the different health needs of women and men?,Dichotomous,Yes/No,,
85,Benefits & Professional Development,Approach to Health Insurance Policies and Practices,Commitment,Does the company equally provide healthcare insurance benefits for all employees?,Dichotomous,Yes/No,,
86,Benefits & Professional Development,Approach to Health Insurance Policies and Practices,Commitment,"Does the company provide critical illness or disability insurance benefits? If so, is it equally provided for men and women?",Dichotomous,Yes/No,,
87,Benefits & Professional Development,Approach to Health Insurance Policies and Practices,Commitment,Does the company provide health coverage to the employee’s spouse or domestic partner and family members?,Dichotomous,Yes/No,,
88,Benefits & Professional Development,Approach to Health Insurance Policies and Practices,Communication,Does the company communicate its insurance policies to its employees and notify employees of any changes?,Dichotomous,Yes/No,,
89,Benefits & Professional Development,Approach to Health Insurance Policies and Practices,Implementation,"Does the company provide options for private insurance packages that cover the specific health needs of women (e.g., gynecology, maternal health, reproductive health)?",Dichotomous,Yes/No,,
90,Benefits & Professional Development,Approach to Health Insurance Policies and Practices,Implementation,"Does the company provide vital information about the issue of violence against women, including helplines, crisis centers and contacts for women’s shelters and specialized organizations that offer support?",Dichotomous,Yes/No,,
91,Benefits & Professional Development,Approach to Health Insurance Policies and Practices,Implementation,"Does the company provide onsite health services or establish linkages with local health clinics and service providers for referral purposes that cover the specific health needs of women (including reproductive, maternal and newborn health)?",Dichotomous,Yes/No,,
92,Benefits & Professional Development,Approach to Health Insurance Policies and Practices,Implementation,"Does the company coordinate onsite mobile clinics or screenings for employees, with health providers that are trained on women's health issues and needs?",Dichotomous,Yes/No,,
93,Benefits & Professional Development,Approach to Health Insurance Policies and Practices,Implementation,"Does the company post health-related information in public areas in line with the local or national context, especially when there are public health outbreaks that can disproportionally impact women?",Dichotomous,Yes/No,,
94,Benefits & Professional Development,Approach to Health Insurance Policies and Practices,Implementation,Does the company consult with male and female employees to determine if health services and benefits meet employee needs?,Dichotomous,Yes/No,,
95,Benefits & Professional Development,Approach to Health Insurance Policies and Practices,Implementation,Do the insurance benefits provided by the company include preventive care for women?,Dichotomous,Yes/No,,
96,Benefits & Professional Development,Approach to Health Insurance Policies and Practices,Implementation,"Does the company continuously assess risks regarding adverse impacts on the health and well-being of employees, including their sexual and reproductive health and right as well as mitigation plans?",Dichotomous,Yes/No,,
97,Benefits & Professional Development,Approach to Health Insurance Policies and Practices,Measurement,Does the company conduct employee satisfaction surveys that include health care benefits?,Dichotomous,Yes/No,,
98,Benefits & Professional Development,Approach to Health Insurance Policies and Practices,Measurement,Does the company review its insurance policies and practices and benchmark these against industry norms?,Dichotomous,Yes/No,,
99,Benefits & Professional Development,Approach to Health Insurance Policies and Practices,Measurement,"Does the company request feedback from third-party experts, such as NGOs or other independ- ent organizations specialized in women’s health needs, who could identify any potential gaps and areas for improvement?",Dichotomous,Yes/No,,
100,Benefits & Professional Development,Approach to Health Insurance Policies and Practices,Measurement,"Does the company track the types of health services provided at the workplace and collect infor- mation on who is using the services, disaggregated by sex?",Dichotomous,Yes/No,,
101,Benefits & Professional Development,Approach to Health Insurance Policies and Practices,Accountability and Transparency,Does the company actively address deficiencies?,Dichotomous,Yes/No,,
102,Benefits & Professional Development,Approach to Health Insurance Policies and Practices,Accountability and Transparency,Does the company report its progress and target improvement (if any) to the Board of Directors?,Dichotomous,Yes/No,,
103,Benefits & Professional Development,Approach to Promote Women's Professional Developmanet and Training,Commitment,Does the company equally provide training opportunities for all of its employees?,Dichotomous,Yes/No,,
104,Benefits & Professional Development,Approach to Promote Women's Professional Developmanet and Training,Commitment,Is access to training and career development equal for men and women?,Dichotomous,Yes/No,,
105,Benefits & Professional Development,Approach to Promote Women's Professional Developmanet and Training,Communication,Does the company communicate its training program to all of its employees?,Dichotomous,Yes/No,,
106,Benefits & Professional Development,Approach to Promote Women's Professional Developmanet and Training,Communication,Does the company communicate its professional development and training programs in such a way that women feel comfortable pursuing the offer?,Dichotomous,Yes/No,,
107,Benefits & Professional Development,Approach to Promote Women's Professional Developmanet and Training,Implementation,Are the trainings relevant to their current occupations?,Dichotomous,Yes/No,,
108,Benefits & Professional Development,Approach to Promote Women's Professional Developmanet and Training,Implementation,Are the trainings relevant to each individual employee’s career path?,Dichotomous,Yes/No,,
109,Benefits & Professional Development,Approach to Promote Women's Professional Developmanet and Training,Implementation,Does the company offer mentoring program(s) with specific support for women?,Dichotomous,Yes/No,,
110,Benefits & Professional Development,Approach to Promote Women's Professional Developmanet and Training,Implementation,Does the company offer leadership coaching with specific support for women?,Dichotomous,Yes/No,,
111,Benefits & Professional Development,Approach to Promote Women's Professional Developmanet and Training,Implementation,"Does the company offer development trainings, rotational programs and educational opportu- nities with specific support for women?",Dichotomous,Yes/No,,
112,Benefits & Professional Development,Approach to Promote Women's Professional Developmanet and Training,Implementation,Does the company offer specific programs to build the pipeline of qualified women for man- agement/ senior leadership level positions?,Dichotomous,Yes/No,,
113,Benefits & Professional Development,Approach to Promote Women's Professional Developmanet and Training,Implementation,Does the company have measures in place to ensure professional development programs are scheduled at times that accommodate the scheduling needs of both men and women (taking into consideration care responsibilities)?,Dichotomous,Yes/No,,
114,Benefits & Professional Development,Approach to Promote Women's Professional Developmanet and Training,Measurement,Does the company have time-bound and measurable goals and targets to build a pipeline of qualified women for management-level positions?,Dichotomous,Yes/No,,
115,Benefits & Professional Development,Approach to Promote Women's Professional Developmanet and Training,Measurement,Does the company set goals and objectives for trainings?,Dichotomous,Yes/No,,
116,Benefits & Professional Development,Approach to Promote Women's Professional Developmanet and Training,Measurement,"Does the company collect, analyze and monitor sex-disaggregated data on the percentage of employees participating in these programs, at least annually?",Dichotomous,Yes/No,,
117,Benefits & Professional Development,Approach to Promote Women's Professional Developmanet and Training,Accountability and Transparency,Does the company allow employees to provide feedback to improve the training programs?,Dichotomous,Yes/No,,
118,Benefits & Professional Development,Approach to Promote Women's Professional Developmanet and Training,Accountability and Transparency,"Does the company report publicly to company stakeholders on the average number of training hours, disaggregated by sex and employee level?",Dichotomous,Yes/No,,
119,Benefits & Professional Development,Approach to Promote Women's Professional Developmanet and Training,Accountability and Transparency,"Does the company report to the Board of Directors on the average number of training hours, disaggregated by sex and employee level?",Dichotomous,Yes/No,,
120,Benefits & Professional Development,Approach to Performance Reviews Policies & Promotion Practices,Commitment,Does the company have clear criteria for rewards that are free of gender bias and link to the performance review process?,Dichotomous,Yes/No,,
121,Benefits & Professional Development,Approach to Performance Reviews Policies & Promotion Practices,Commitment,Does the company ask managers to justify their decisions on personal budget allocation?,Dichotomous,Yes/No,,
122,Benefits & Professional Development,Approach to Performance Reviews Policies & Promotion Practices,Commitment,"Does the company have a structured approach, guidelines and pre-determined criteria for performance evaluation?",Dichotomous,Yes/No,,
123,Benefits & Professional Development,Approach to Performance Reviews Policies & Promotion Practices,Commitment,Does the company support a broad variety of leadership styles?,Dichotomous,Yes/No,,
124,Benefits & Professional Development,Approach to Performance Reviews Policies & Promotion Practices,Communication,Is access to performance expectations or key performance indicators (KPI) available to all employees?,Dichotomous,Yes/No,,
125,Benefits & Professional Development,Approach to Performance Reviews Policies & Promotion Practices,Communication,Does the company enhance the visibility of a women professional role model?,Dichotomous,Yes/No,,
126,Benefits & Professional Development,Approach to Performance Reviews Policies & Promotion Practices,Implementation,Do employees have access to their past career progress and understand areas of development needed for promotion to the next level?6,Dichotomous,Yes/No,,
127,Benefits & Professional Development,Approach to Performance Reviews Policies & Promotion Practices,Implementation,Does the company regularly promote gender discrimination awareness and train its employees to minimize unconscious gender bias?,Dichotomous,Yes/No,,
128,Benefits & Professional Development,Approach to Performance Reviews Policies & Promotion Practices,Implementation,Is there gender balance in the decision-making body overseeing promotion processes?,Dichotomous,Yes/No,,
129,Benefits & Professional Development,Approach to Performance Reviews Policies & Promotion Practices,Implementation,Is there a process to ensure there is a shortlist of suitable candidates (disaggregated by sex) before the decision for promotions is made?,Dichotomous,Yes/No,,
130,Benefits & Professional Development,Approach to Performance Reviews Policies & Promotion Practices,Implementation,Does the company actively seek to employ women in managerial and senior-level positions?,Dichotomous,Yes/No,,
131,Benefits & Professional Development,Approach to Performance Reviews Policies & Promotion Practices,Measurement,Does the company collect sex-disaggregated data on the percentage of employees shortlisted and promoted?,Dichotomous,Yes/No,,
132,Benefits & Professional Development,Approach to Performance Reviews Policies & Promotion Practices,Accountability and Transparency,Does the company assess performance review and promotional procedures and docu- ments to eliminate pro-male or pro-childless criteria and competencies?,Dichotomous,Yes/No,,
133,Benefits & Professional Development,Approach to Performance Reviews Policies & Promotion Practices,Accountability and Transparency,Does the company report its progress and target improvement (if any) to the Board of Directors?,Dichotomous,Yes/No,,
134,Benefits & Professional Development,Approach to Performance Reviews Policies & Promotion Practices,Accountability and Transparency,"Does the company report publicly to company stakeholders on the total number of women, as compared to men, in management and senior leadership level positions?",Dichotomous,Yes/No,,
135,Benefits & Professional Development,Approach to Performance Reviews Policies & Promotion Practices,Accountability and Transparency,"Does the company report to the Board of Directors on the total number of women, as compared to men, in management and senior leadership level positions?",Dichotomous,Yes/No,,
136,Benefits & Professional Development,Approach to Performance Reviews Policies & Promotion Practices,Accountability and Transparency,"Does the company report publicly to company stakeholders on the total number of employees promoted in the last year, disaggregated by sex?",Dichotomous,Yes/No,,
137,Benefits & Professional Development,Approach to Performance Reviews Policies & Promotion Practices,Accountability and Transparency,"Does the company report to the Board of Directors on the total number of employees promoted in the last year, disaggregated by sex?",Dichotomous,Yes/No,,
138,Safe and Healthy Workplace Environment,Approach to Environmental Policies,Commitment,Does the company have an environmental policy?,Dichotomous,Yes/No,,
139,Safe and Healthy Workplace Environment,Approach to Environmental Policies,Commitment,"If so, does the company consider the environmental impact that could potentially affect men and women differently?",Filter,Yes/No/Not Applicable,,
140,Safe and Healthy Workplace Environment,Approach to Environmental Policies,Commitment,Has the company been subject to any environmental lawsuits or cited for environmental violations?,Dichotomous,Yes/No,,
141,Safe and Healthy Workplace Environment,Approach to Environmental Policies,Communication,Does the company clearly communicate its environmental policies to all employees?,Dichotomous,Yes/No,,
142,Safe and Healthy Workplace Environment,Approach to Environmental Policies,Implementation,"Does the company ensure equal participation of women and men in community consultations at times in which women can attend, bearing in mind home care and other responsibilities?",Dichotomous,Yes/No,,
143,Safe and Healthy Workplace Environment,Approach to Environmental Policies,Implementation,Does the company have transparent community grievance and resolution mechanisms in place?,Dichotomous,Yes/No,,
144,Safe and Healthy Workplace Environment,Approach to Environmental Policies,Implementation,Does the company assess differential impacts on men and women during environmental impact assessments?,Dichotomous,Yes/No,,
145,Safe and Healthy Workplace Environment,Approach to Environmental Policies,Implementation,Does the company provide gender-sensitive training to facilitators of community consultations?,Dichotomous,Yes/No,,
146,Safe and Healthy Workplace Environment,Approach to Environmental Policies,Implementation,"Does the company have a policy to continuously assess environmental risks regarding its adverse impact on the health and well-being of employees, its customers and/or the population in the area where it operates as well as mitigation plans, especially those that will disproportionately create an impact on women?",Dichotomous,Yes/No,,
147,Safe and Healthy Workplace Environment,Approach to Environmental Policies,Implementation,Does the company have equal women and men representation on any environmental policy-making body?,Dichotomous,Yes/No,,
148,Safe and Healthy Workplace Environment,Approach to Environmental Policies,Implementation,Does the company have any policies around whistleblowing and subsequent retaliation to whistleblowers?,Dichotomous,Yes/No,,
149,Safe and Healthy Workplace Environment,Approach to Environmental Policies,Measurement,Does the company track stakeholder engagement and participation in community consultations disaggregated by sex?,Dichotomous,Yes/No,,
150,Safe and Healthy Workplace Environment,Approach to Environmental Policies,Measurement,Does the company measure and track environmental claims based on sex-disaggregated data?,Dichotomous,Yes/No,,
151,Safe and Healthy Workplace Environment,Approach to Environmental Policies,Measurement,Does the company document all environmental incidents and their potential and actual impact on women and men?,Dichotomous,Yes/No,,
152,Safe and Healthy Workplace Environment,Approach to Environmental Policies,Accountability and Transparency,Does the company report its progress and target improvement (if any) to the Board of Direc- tors?,Dichotomous,Yes/No,,
153,Safe and Healthy Workplace Environment,Approach to Environmental Policies,Accountability and Transparency,"Does the company report publicly to company stakeholders on the percentage of operations in local community engagement, impact assessments and/or development programs (including reporting on the use of gender impact assessments and participatory community consultation processes that include vulnerable groups)?",Dichotomous,Yes/No,,
154,Safe and Healthy Workplace Environment,Approach to Environmental Policies,Accountability and Transparency,"Does the company report to the Board of Directors on the percentage of operations with local community engagement, impact assessments and/or development programs (including reporting on the use of gender impact assessments and participatory community consultation processes that include vulnerable groups)?",Dichotomous,Yes/No,,
155,Safe and Healthy Workplace Environment,Approach to Environmental Policies,Accountability and Transparency,Does the company report to the Board of Directors all environmental claims based on sex-disag- gregated data?,Dichotomous,Yes/No,,
156,Safe and Healthy Workplace Environment,Approach to Environmental Policies,Accountability and Transparency,"Does the company report to the Board of Directors in a timely and complete manner all envi- ronmental incidents and their potential and actual impact on women and men, providing regular information on action taken, remedies and future prevention?",Dichotomous,Yes/No,,
157,Safe and Healthy Workplace Environment,Approach to Sexual Harassment and Gender-based Violence in the Workplace,Commitment,Does the company have a stand-alone policy or a commitment embedded in a broader corporate policy that states zero tolerance of sexual harassment and all forms of violence at work (including while on business-related travel and in client entertainment) for employees and subcontracted workers?,Dichotomous,Yes/No,,
158,Safe and Healthy Workplace Environment,Approach to Sexual Harassment and Gender-based Violence in the Workplace,Commitment,Does the company develop a clear Sexual Harassment Policy and commitment to preventing and responding to gender-based violence?,Dichotomous,Yes/No,,
159,Safe and Healthy Workplace Environment,Approach to Sexual Harassment and Gender-based Violence in the Workplace,Commitment,Does the Board of Directors establish and track Key Performance Indicators concerning gender equality and women’s economic empowerment?,Dichotomous,Yes/No,,
